model_id,family,description,term,estimate,std_error_hc3,statistic,p_value,conf_low_95,conf_high_95
H2_M6,H2 complementary,Economic Participation and Opportunity: main specification,is_early_access,0.364,0.089,4.076,<0.001,0.189,0.539
H2_M6,H2 complementary,Economic Participation and Opportunity: main specification,genre_Action,0.185,0.057,3.263,0.001,0.074,0.296
H2_M6,H2 complementary,Economic Participation and Opportunity: main specification,genre_Adventure,0.153,0.058,2.630,0.009,0.039,0.266
H2_M6,H2 complementary,Economic Participation and Opportunity: main specification,genre_Simulation,-0.086,0.066,-1.298,0.194,-0.215,0.044
H2_M6,H2 complementary,Economic Participation and Opportunity: main specification,genre_Sports,0.045,0.147,0.303,0.762,-0.244,0.333
H2_M6,H2 complementary,Economic Participation and Opportunity: main specification,genre_Racing,-0.041,0.158,-0.259,0.795,-0.351,0.269
H2_M6,H2 complementary,Economic Participation and Opportunity: main specification,genre_RPG,0.312,0.061,5.130,<0.001,0.193,0.431
H2_M6,H2 complementary,Economic Participation and Opportunity: main specification,genre_Strategy,0.298,0.066,4.503,<0.001,0.168,0.427
H2_M6,H2 complementary,Economic Participation and Opportunity: main specification,genre_Other,0.169,0.113,1.498,0.134,-0.052,0.390
H2_M6,H2 complementary,Economic Participation and Opportunity: main specification,factor(release_period)2009,0.048,0.201,0.237,0.813,-0.347,0.442
H2_M6,H2 complementary,Economic Participation and Opportunity: main specification,factor(release_period)2010,-0.092,0.174,-0.527,0.598,-0.433,0.250
H2_M6,H2 complementary,Economic Participation and Opportunity: main specification,factor(release_period)2011,-0.383,0.174,-2.195,0.028,-0.725,-0.041
H2_M6,H2 complementary,Economic Participation and Opportunity: main specification,factor(release_period)2012,-0.167,0.158,-1.055,0.291,-0.478,0.143
H2_M6,H2 complementary,Economic Participation and Opportunity: main specification,factor(release_period)2013,-0.222,0.150,-1.479,0.139,-0.515,0.072
H2_M6,H2 complementary,Economic Participation and Opportunity: main specification,factor(release_period)2014,-0.440,0.133,-3.304,<0.001,-0.701,-0.179
H2_M6,H2 complementary,Economic Participation and Opportunity: main specification,factor(release_period)2015,-0.365,0.135,-2.708,0.007,-0.629,-0.101
H2_M6,H2 complementary,Economic Participation and Opportunity: main specification,factor(release_period)2016,-0.593,0.135,-4.384,<0.001,-0.858,-0.328
H2_M6,H2 complementary,Economic Participation and Opportunity: main specification,factor(release_period)2017,-0.907,0.140,-6.498,<0.001,-1.180,-0.633
